Symbol,Name,InstrumentToken,ExchangeToken,InstrumentType,Segment,Exchange,IsActive
BBTCL,"B&B TRIPLEWALL CONT",3111169,12153,EQ,NSE,NSE,True
HNDFDS,"HINDUSTAN FOODS",3116289,12173,EQ,NSE,NSE,True
INOXGREEN,"INOX GREEN ENERGY SER",3120129,12188,EQ,NSE,NSE,True
RUSTOMJEE,"KEYSTONE REALTORS",3128065,12219,EQ,NSE,NSE,True
ZIMLAB-BE,"ZIM LABORATORIES",3177473,12412,EQ,NSE,NSE,True
SWSOLAR,"STRLNG & WIL REN ENE",3197185,12489,EQ,NSE,NSE,True
VINNY,"VINNY OVERSEAS",3197441,12490,EQ,NSE,NSE,True
AAATECH,"AAA TECHNOLOGIES",3208449,12533,EQ,NSE,NSE,True
FINIETF,"ICICI PRUDENTIAL NIFTY FINANCIAL SERVICES EX-BANK ETF",3219969,12578,EQ,NSE,NSE,True
ICIFININAV,"ICICIPRAMC-ICIFININAV",3223809,12593,EQ,NSE,NSE,True
PRECAM,"PRECISION CAMSHAFTS",3226369,12603,EQ,NSE,NSE,True
OSIAHYPER-BE,"OSIA HYPER RETAIL",3236609,12643,EQ,NSE,NSE,True
MBAPL,"MADHYA BHARAT AGRO P.",3247617,12686,EQ,NSE,NSE,True
TEAMLEASE,"TEAMLEASE SERVICES",3255297,12716,EQ,NSE,NSE,True
DJML,"DJ MEDIAPRINT & LOG",3263745,12749,EQ,NSE,NSE,True
HYBRIDFIN-BE,"HYBRID FINANCIAL SERVICE",3280385,12814,EQ,NSE,NSE,True
KRISHANA,"KRISHANA PHOSCHEM",3288833,12847,EQ,NSE,NSE,True
SARVESHWAR-BE,"SARVESHWAR FOODS",3315201,12950,EQ,NSE,NSE,True
NPBET,"TATA NIFTY PRIVATE BANK ETF",3322369,12978,EQ,NSE,NSE,True
DHARMAJ,"DHARMAJ CROP GUARD",3328257,13001,EQ,NSE,NSE,True
SAFARI,"SAFARI IND (INDIA)",3336961,13035,EQ,NSE,NSE,True
UNIPARTS,"UNIPARTS INDIA",3342593,13057,EQ,NSE,NSE,True
IIFLCAPS,"IIFL CAPITAL SERVICES",3346433,13072,EQ,NSE,NSE,True
SILVER1,"KOTAK SILVER ETF",3348993,13082,EQ,NSE,NSE,True
TRIVENI-BE,"TRIVENI ENGG. & INDS.",3349505,13084,EQ,NSE,NSE,True
AIAENG,"AIA ENGINEERING",3350017,13086,EQ,NSE,NSE,True
KOTAKSINAV,"KOTAKMAMC - KOTAKSINAV",3350785,13089,EQ,NSE,NSE,True
EKC,"EVEREST KANTO CYLINDERLTD",3351297,13091,EQ,NSE,NSE,True
VIMTALABS,"VIMTA LABS",3353857,13101,EQ,NSE,NSE,True
NAHARINDUS,"NAHAR INDS ENT",3355137,13106,EQ,NSE,NSE,True
ORIENTCER,"ORIENT CERATECH",3356417,13111,EQ,NSE,NSE,True
KERNEX,"KERNEX MICROSYS(I)",3358977,13121,EQ,NSE,NSE,True
REPRO,"REPRO INDIA",3360257,13126,EQ,NSE,NSE,True
QUICKHEAL-BE,"QUICK HEAL TECH",3361537,13131,EQ,NSE,NSE,True
GSEC10IETF,"ICICI PRUDENTIAL NIFTY 10 YR BENCHMARK G-SEC ETF",3364609,13143,EQ,NSE,NSE,True
PVRINOX,"PVR INOX",3365633,13147,EQ,NSE,NSE,True
CELEBRITY,"CELEBRITY FASHIONS",3369473,13162,EQ,NSE,NSE,True
EBB433INAV,"EDELAMC - EBB433INAV",3371009,13168,EQ,NSE,NSE,True
IC10GSINAV,"ICICIPRAMC - IC10GSINAV",3371265,13169,EQ,NSE,NSE,True
NITINSPIN,"NITIN SPINNERS",3372801,13175,EQ,NSE,NSE,True
ROHLTD,"ROYAL ORCHID HOTELS",3374593,13182,EQ,NSE,NSE,True
RCOM-BE,"RELIANCE COMMUNICATIONS L",3376129,13188,EQ,NSE,NSE,True
ENIL,"ENTERTAIN NET. IND.",3377153,13192,EQ,NSE,NSE,True
COMMOIETF,"ICICI PRUDENTIAL NIFTY COMMODITIES ETF",3378689,13198,EQ,NSE,NSE,True
JAGRAN,"JAGRAN PRAKASHAN",3382017,13211,EQ,NSE,NSE,True
ICICOMINAV,"ICICIPRAMC - ICICOMINAV",3382785,13214,EQ,NSE,NSE,True
SULA,"SULA VINEYARDS",3383809,13218,EQ,NSE,NSE,True
GVKPIL-BE,"GVK POW. & INFRA",3386625,13229,EQ,NSE,NSE,True
SADBHAV,"SADBHAV ENGINEERING",3388417,13236,EQ,NSE,NSE,True
SAKUMA-BE,"SAKUMA EXPORTS",3393281,13255,EQ,NSE,NSE,True
KEC,"KEC INTL.",3394561,13260,EQ,NSE,NSE,True
JKCEMENT,"JK CEMENT",3397121,13270,EQ,NSE,NSE,True
LANDMARK,"LANDMARK CARS",3398657,13276,EQ,NSE,NSE,True
INDOTECH-BE,"INDO TECH TRANSFORM",3399169,13278,EQ,NSE,NSE,True
M&MFIN,"M&M FIN. SERVICES",3400961,13285,EQ,NSE,NSE,True
AFSL,"ABANS FINANCIAL SRVCS",3401729,13288,EQ,NSE,NSE,True
BLKASHYAP,"B.L.KASHYAP & SON",3402241,13290,EQ,NSE,NSE,True
VISACHROME-BE,"VISA CHROME",3404289,13298,EQ,NSE,NSE,True
NITCO,"NITCO",3404801,13300,EQ,NSE,NSE,True
CENTURYPLY,"CENTURY PLYBOARDS (I)",3406081,13305,EQ,NSE,NSE,True
KEI,"KEI INDUSTRIES",3407361,13310,EQ,NSE,NSE,True
ORTEL-BZ,"ORTEL COMMUNICATIONS",3410177,13321,EQ,NSE,NSE,True
SOLARINDS,"SOLAR INDUSTRIES (I)",3412993,13332,EQ,NSE,NSE,True
GALLANTT,"GALLANTT ISPAT",3414273,13337,EQ,NSE,NSE,True
VAKRANGEE,"VAKRANGEE",3415553,13342,EQ,NSE,NSE,True
MALUPAPER,"MALU PAPER MILLS",3418113,13352,EQ,NSE,NSE,True
KFINTECH,"KFIN TECHNOLOGIES",3419905,13359,EQ,NSE,NSE,True
SGL,"STL GLOBAL",3421953,13367,EQ,NSE,NSE,True
UTTAMSUGAR,"UTTAM SUGAR MILLS",3424257,13376,EQ,NSE,NSE,True
KKCL,"KEWAL KIRAN CLOTHING",3425537,13381,EQ,NSE,NSE,True
VARDHACRLC-BE,"VARDHAMAN ACRYLICS",3431169,13403,EQ,NSE,NSE,True
SUNTV,"SUN TV NETWORK",3431425,13404,EQ,NSE,NSE,True
GPIL,"GODAWARI POW & ISP",3432705,13409,EQ,NSE,NSE,True
RSYSTEMS,"R SYS INTERNATIONAL",3433985,13414,EQ,NSE,NSE,True
EMKAY,"EMKAY GLOBAL FIN SERV",3435777,13421,EQ,NSE,NSE,True
ELIN,"ELIN ELECTRONICS",3436289,13423,EQ,NSE,NSE,True
BHAGERIA-BE,"BHAGERIA INDUSTRIES",3437313,13427,EQ,NSE,NSE,True
KELLTONTEC,"KELLTON TECH SOL",3438081,13430,EQ,NSE,NSE,True
LOKESHMACH-BE,"LOKESH MACHINES",3440385,13439,EQ,NSE,NSE,True
BALPHARMA,"BAL PHARMA",3440897,13441,EQ,NSE,NSE,True
RATNAMANI,"RATNAMANI MET & TUB",3443457,13451,EQ,NSE,NSE,True
KAMDHENU-BE,"KAMDHENU",3446017,13461,EQ,NSE,NSE,True
PIONEEREMB,"PIONEER EMBROIDERIES",3446529,13463,EQ,NSE,NSE,True
JKLAKSHMI,"JK LAKSHMI CEMENT",3453697,13491,EQ,NSE,NSE,True
PFOCUS,"PRIME FOCUS",3454977,13496,EQ,NSE,NSE,True
ALLCARGO,"ALLCARGO LOGISTICS",3456257,13501,EQ,NSE,NSE,True
AKASH,"AKASH INFRA-PROJECTS",3458561,13510,EQ,NSE,NSE,True
MUNJALAU,"MUNJAL AUTO IND.",3458817,13511,EQ,NSE,NSE,True
EMAMILTD,"EMAMI",3460353,13517,EQ,NSE,NSE,True
